Base Metal,,,,,,,
Leak Rate (GPM),0.05 (GPM),0.1 (GPM),0.25 (GPM),0.5 (GPM),1.0 (GPM),,
Normal Stress (ksi),Max. Stress (ksi),Max. Stress (ksi),Max. Stress (ksi),Max. Stress (ksi),Max. Stress (ksi),Diagonal,
3.212279,0,0,0,0,0,0,0
3.212279,17,16,16,16,9.071654,50,50
2,22,42,56,15.71228,11.02478,,
5.686524,21,21,22,13,17,,
7.209498,36.80603,32.89978,27.0404,21.96228,15.71228,,
8.961723,38.75915,35.24353,29.77478,24.69665,18.83728,,
10.97771,40.32165,37.19665,32.11853,27.43103,21.96228,,
13.29716,41.88415,39.14978,34.46228,30.1654,25.08728,,
15.96575,43.05603,41.1029,36.80603,32.89978,28.21228,,
19.03604,44.61853,42.6654,39.14978,35.24353,31.33728,,
22.5685,45.39978,43.83728,41.1029,37.9779,34.07165,,
26.6327,46.18103,45.00915,43.05603,40.32165,36.80603,,
31.30868,46.96228,46.18103,44.2279,42.27478,39.5404,,
36.68852,47.74353,46.96228,45.39978,43.83728,41.49353,,
42.87819,48.13415,47.74353,46.18103,45.00915,43.05603,,
49.99957,48.52478,48.13415,46.96228,46.18103,44.61853,,
