Da (in),J (in-kips/in2)
0.004452638,0.825122385
0.013430787,1.648006392
0.029959961,2.369820743
0.056281496,3.232795712
0.078861811,3.756958932
0.095425197,3.8
0.116501575,4.565670346
0.131556299,4.898891859
0.13381063,4.995107887
0.139827559,5.186797622
0.145102756,5.232855692
0.154140945,5.37438176
0.156382283,5.616606323
0.163916142,5.710207102
0.172971654,5.757068446
0.18124252,5.944951368
0.19028937,5.989147929
0.197805906,6.277453403
0.203077165,6.372184791
0.212119685,6.46503183
0.218140945,6.608071088
0.229450394,6.651125619
0.237729921,6.841673324
0.24526378,6.935319784
